Brand;GTIN;;Colour;Size;The Sports Edit URL;;;;;;;;;;;;;;;;;;;;;
2XU;9336340407249;MA2308a;BLK/SIL;S;https://thesportsedit.com/products/2xu-compression-long-sleeves-top;;;;;;;;;;;;;;;;;;;;;
2XU;9336340407256;MA2308a;BLK/SIL;M;https://thesportsedit.com/products/2xu-compression-long-sleeves-top;;;;;;;;;;;;;;;;;;;;;
2XU;9336340407263;MA2308a;BLK/SIL;L;https://thesportsedit.com/products/2xu-compression-long-sleeves-top;;;;;;;;;;;;;;;;;;;;;
2XU;9336340407270;MA2308a;BLK/SIL;XL;https://thesportsedit.com/products/2xu-compression-long-sleeves-top;;;;;;;;;;;;;;;;;;;;;
2XU;9336340178019;MA2442e;TTM/BLK;S;https://thesportsedit.com/products/2xu-mens-perform-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340178026;MA2442e;TTM/BLK;M;https://thesportsedit.com/products/2xu-mens-perform-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340178170;MA2442e;TTM/BLK;L;https://thesportsedit.com/products/2xu-mens-perform-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340178187;MA2442e;TTM/BLK;XL;https://thesportsedit.com/products/2xu-mens-perform-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340341819;MA3244e;BLK/BLK;S;https://thesportsedit.com/products/2xu-mens-24-7-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340341826;MA3244e;BLK/BLK;M;https://thesportsedit.com/products/2xu-mens-24-7-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340341833;MA3244e;BLK/BLK;L;https://thesportsedit.com/products/2xu-mens-24-7-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340341840;MA3244e;BLK/BLK;XL;https://thesportsedit.com/products/2xu-mens-24-7-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528340;MA4411b;BLK/NRO;S;https://thesportsedit.com/products/2xu-elite-mcs-compression-tight-g2;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528357;MA4411b;BLK/NRO;ST;https://thesportsedit.com/products/2xu-elite-mcs-compression-tight-g2;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528364;MA4411b;BLK/NRO;M;https://thesportsedit.com/products/2xu-elite-mcs-compression-tight-g2;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528371;MA4411b;BLK/NRO;MT;https://thesportsedit.com/products/2xu-elite-mcs-compression-tight-g2;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528388;MA4411b;BLK/NRO;L;https://thesportsedit.com/products/2xu-elite-mcs-compression-tight-g2;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528401;MA4411b;BLK/NRO;XL;https://thesportsedit.com/products/2xu-elite-mcs-compression-tight-g2;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528609;MA4413b;BLK/NRO;S;https://thesportsedit.com/products/2xu-elite-mcs-compression-short;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528616;MA4413b;BLK/NRO;M;https://thesportsedit.com/products/2xu-elite-mcs-compression-short;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528623;MA4413b;BLK/NRO;L;https://thesportsedit.com/products/2xu-elite-mcs-compression-short;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528630;MA4413b;BLK/NRO;XL;https://thesportsedit.com/products/2xu-elite-mcs-compression-short;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528999;MA4476b;BLK/NRO;S;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black;;;;;;;;;;;;;;;;;;;;;
2XU;9336340529019;MA4476b;BLK/NRO;M;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black;;;;;;;;;;;;;;;;;;;;;
2XU;9336340529033;MA4476b;BLK/NRO;L;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black;;;;;;;;;;;;;;;;;;;;;
2XU;9336340529057;MA4476b;BLK/NRO;XL;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528869;MA4476b;BLK/SIL;S;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528876;MA4476b;BLK/SIL;ST;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528883;MA4476b;BLK/SIL;M;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528890;MA4476b;BLK/SIL;MT;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528906;MA4476b;BLK/SIL;L;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340528920;MA4476b;BLK/SIL;XL;https://thesportsedit.com/products/2xu-accelerate-compression-tights-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340529767;MA4478b;BLK/SIL;S;https://thesportsedit.com/products/2xu-compression-shorts-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340529774;MA4478b;BLK/SIL;M;https://thesportsedit.com/products/2xu-compression-shorts-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340529781;MA4478b;BLK/SIL;L;https://thesportsedit.com/products/2xu-compression-shorts-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340529798;MA4478b;BLK/SIL;XL;https://thesportsedit.com/products/2xu-compression-shorts-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340179306;WA2443e;HPK/GRY;S;https://thesportsedit.com/products/2xu-womens-perform-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340179313;WA2443e;HPK/GRY;M;https://thesportsedit.com/products/2xu-womens-perform-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340179320;WA2443e;HPK/GRY;L;https://thesportsedit.com/products/2xu-womens-perform-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340288732;WA2864b;BLK/DBK;XS;https://thesportsedit.com/products/2xu-mid-rise-compression-tights;;;;;;;;;;;;;;;;;;;;;
2XU;9336340288749;WA2864b;BLK/DBK;S;https://thesportsedit.com/products/2xu-mid-rise-compression-tights;;;;;;;;;;;;;;;;;;;;;
2XU;9336340288756;WA2864b;BLK/DBK;ST;https://thesportsedit.com/products/2xu-mid-rise-compression-tights;;;;;;;;;;;;;;;;;;;;;
2XU;9336340288763;WA2864b;BLK/DBK;M;https://thesportsedit.com/products/2xu-mid-rise-compression-tights;;;;;;;;;;;;;;;;;;;;;
2XU;9336340288770;WA2864b;BLK/DBK;MT;https://thesportsedit.com/products/2xu-mid-rise-compression-tights;;;;;;;;;;;;;;;;;;;;;
2XU;9336340288787;WA2864b;BLK/DBK;L;https://thesportsedit.com/products/2xu-mid-rise-compression-tights;;;;;;;;;;;;;;;;;;;;;
2XU;9336340531043;WA2864b;BLK/FCL;XS;https://thesportsedit.com/products/2xu-midrise-compression-tight-black-coral;;;;;;;;;;;;;;;;;;;;;
2XU;9336340531067;WA2864b;BLK/FCL;S;https://thesportsedit.com/products/2xu-midrise-compression-tight-black-coral;;;;;;;;;;;;;;;;;;;;;
2XU;9336340531074;WA2864b;BLK/FCL;ST;https://thesportsedit.com/products/2xu-midrise-compression-tight-black-coral;;;;;;;;;;;;;;;;;;;;;
2XU;9336340531081;WA2864b;BLK/FCL;M;https://thesportsedit.com/products/2xu-midrise-compression-tight-black-coral;;;;;;;;;;;;;;;;;;;;;
2XU;9336340531098;WA2864b;BLK/FCL;MT;https://thesportsedit.com/products/2xu-midrise-compression-tight-black-coral;;;;;;;;;;;;;;;;;;;;;
2XU;9336340531104;WA2864b;BLK/FCL;L;https://thesportsedit.com/products/2xu-midrise-compression-tight-black-coral;;;;;;;;;;;;;;;;;;;;;
2XU;9336340288534;WA2865b;BLK/DBK;XS;https://thesportsedit.com/products/2xu-mid-rise-3-4-compression-tights;;;;;;;;;;;;;;;;;;;;;
2XU;9336340288541;WA2865b;BLK/DBK;S;https://thesportsedit.com/products/2xu-mid-rise-3-4-compression-tights;;;;;;;;;;;;;;;;;;;;;
2XU;9336340288565;WA2865b;BLK/DBK;M;https://thesportsedit.com/products/2xu-mid-rise-3-4-compression-tights;;;;;;;;;;;;;;;;;;;;;
2XU;9336340288589;WA2865b;BLK/DBK;L;https://thesportsedit.com/products/2xu-mid-rise-3-4-compression-tights;;;;;;;;;;;;;;;;;;;;;
2XU;9336340342052;WA3245e;BLK/BLK;XS;https://thesportsedit.com/products/2xu-womens-24-7-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340342069;WA3245e;BLK/BLK;S;https://thesportsedit.com/products/2xu-womens-24-7-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340342076;WA3245e;BLK/BLK;M;https://thesportsedit.com/products/2xu-womens-24-7-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340342083;WA3245e;BLK/BLK;L;https://thesportsedit.com/products/2xu-womens-24-7-compression-socks;;;;;;;;;;;;;;;;;;;;;
2XU;9336340472605;WA4177b;BLK/SIL;XS;https://thesportsedit.com/products/2xu-active-compression-tights-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340472629;WA4177b;BLK/SIL;S;https://thesportsedit.com/products/2xu-active-compression-tights-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340472636;WA4177b;BLK/SIL;ST;https://thesportsedit.com/products/2xu-active-compression-tights-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340472643;WA4177b;BLK/SIL;M;https://thesportsedit.com/products/2xu-active-compression-tights-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340472650;WA4177b;BLK/SIL;MT;https://thesportsedit.com/products/2xu-active-compression-tights-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340472667;WA4177b;BLK/SIL;L;https://thesportsedit.com/products/2xu-active-compression-tights-black-silver;;;;;;;;;;;;;;;;;;;;;
2XU;9336340316619;WA2864b;BLK/DRF;XS;https://thesportsedit.com/products/2xu-mid-rise-compression-tights-reflective;;;;;;;;;;;;;;;;;;;;;
2XU;9336340316626;WA2864b;BLK/DRF;S;https://thesportsedit.com/products/2xu-mid-rise-compression-tights-reflective;;;;;;;;;;;;;;;;;;;;;
2XU;9336340316640;WA2864b;BLK/DRF;M;https://thesportsedit.com/products/2xu-mid-rise-compression-tights-reflective;;;;;;;;;;;;;;;;;;;;;
2XU;9336340316664;WA2864b;BLK/DRF;L;https://thesportsedit.com/products/2xu-mid-rise-compression-tights-reflective;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913522787;;White Camo;XS;https://thesportsedit.com/products/alo-yoga-airbrush-legging-white-camo;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913522794;;White Camo;S;https://thesportsedit.com/products/alo-yoga-airbrush-legging-white-camo;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913522800;;White Camo;M;https://thesportsedit.com/products/alo-yoga-airbrush-legging-white-camo;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913522817;;White Camo;L;https://thesportsedit.com/products/alo-yoga-airbrush-legging-white-camo;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913309432;;BLACK/BLACK;XS;https://thesportsedit.com/products/alo-yoga-goddess-ribbed-legging-black;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913309470;;BLACK/BLACK;S;https://thesportsedit.com/products/alo-yoga-goddess-ribbed-legging-black;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913309517;;BLACK/BLACK;M;https://thesportsedit.com/products/alo-yoga-goddess-ribbed-legging-black;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913307995;;BLACK/BLACK;L;https://thesportsedit.com/products/alo-yoga-goddess-ribbed-legging-black;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913564039;;Juneberry/Black;XS;https://thesportsedit.com/products/alo-yoga-goddess-legging-juneberry;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913564046;;Juneberry/Black;S;https://thesportsedit.com/products/alo-yoga-goddess-legging-juneberry;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913564053;;Juneberry/Black;M;https://thesportsedit.com/products/alo-yoga-goddess-legging-juneberry;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913564060;;Juneberry/Black;L;https://thesportsedit.com/products/alo-yoga-goddess-legging-juneberry;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913564084;;Black Magma/Black;XS;https://thesportsedit.com/products/alo-yoga-goddess-legging-black-magma-black;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913564091;;Black Magma/Black;S;https://thesportsedit.com/products/alo-yoga-goddess-legging-black-magma-black;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913564107;;Black Magma/Black;M;https://thesportsedit.com/products/alo-yoga-goddess-legging-black-magma-black;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913564114;;Black Magma/Black;L;https://thesportsedit.com/products/alo-yoga-goddess-legging-black-magma-black;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913445277;;White/White Glossy;XS;https://thesportsedit.com/products/alo-yoga-moto-legging-white;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913445284;;White/White Glossy;S;https://thesportsedit.com/products/alo-yoga-moto-legging-white;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913445291;;White/White Glossy;M;https://thesportsedit.com/products/alo-yoga-moto-legging-white;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913446960;;Black/Black Glossy;XS;https://thesportsedit.com/products/alo-yoga-moto-legging-black;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913446977;;Black/Black Glossy;S;https://thesportsedit.com/products/alo-yoga-moto-legging-black;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913446984;;Black/Black Glossy;M;https://thesportsedit.com/products/alo-yoga-moto-legging-black;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913446991;;Black/Black Glossy;L;https://thesportsedit.com/products/alo-yoga-moto-legging-black;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913564183;;Slate/Slate Glossy;XS;https://thesportsedit.com/products/alo-yoga-moto-legging-slate-glossy;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913564190;;Slate/Slate Glossy;S;https://thesportsedit.com/products/alo-yoga-moto-legging-slate-glossy;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913564206;;Slate/Slate Glossy;M;https://thesportsedit.com/products/alo-yoga-moto-legging-slate-glossy;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913564213;;Slate/Slate Glossy;L;https://thesportsedit.com/products/alo-yoga-moto-legging-slate-glossy;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913478589;;Black Glossy;XS;https://thesportsedit.com/products/alo-yoga-high-waist-airbrush-capri-black-glossy;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913478596;;Black Glossy;S;https://thesportsedit.com/products/alo-yoga-high-waist-airbrush-capri-black-glossy;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913478602;;Black Glossy;M;https://thesportsedit.com/products/alo-yoga-high-waist-airbrush-capri-black-glossy;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913478619;;Black Glossy;L;https://thesportsedit.com/products/alo-yoga-high-waist-airbrush-capri-black-glossy;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913562103;;White;XS;https://thesportsedit.com/products/alo-yoga-epic-mesh-legging-white;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913562110;;White;S;https://thesportsedit.com/products/alo-yoga-epic-mesh-legging-white;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913562127;;White;M;https://thesportsedit.com/products/alo-yoga-epic-mesh-legging-white;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913562134;;White;L;https://thesportsedit.com/products/alo-yoga-epic-mesh-legging-white;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913562202;;Black/Buff;XS;https://thesportsedit.com/products/alo-yoga-west-coast-legging-black-buff;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913562219;;Black/Buff;S;https://thesportsedit.com/products/alo-yoga-west-coast-legging-black-buff;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913562226;;Black/Buff;M;https://thesportsedit.com/products/alo-yoga-west-coast-legging-black-buff;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913562233;;Black/Buff;L;https://thesportsedit.com/products/alo-yoga-west-coast-legging-black-buff;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913479807;;Black Glossy;XS;https://thesportsedit.com/products/alo-yoga-sunny-strappy-bra-black-glossy;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913479814;;Black Glossy;S;https://thesportsedit.com/products/alo-yoga-sunny-strappy-bra-black-glossy;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913479821;;Black Glossy;M;https://thesportsedit.com/products/alo-yoga-sunny-strappy-bra-black-glossy;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913479838;;Black Glossy;L;https://thesportsedit.com/products/alo-yoga-sunny-strappy-bra-black-glossy;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913570238;;Juneberry Glossy;XS;https://thesportsedit.com/products/alo-yoga-sunny-strappy-bra-juneberry;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913570245;;Juneberry Glossy;S;https://thesportsedit.com/products/alo-yoga-sunny-strappy-bra-juneberry;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913570252;;Juneberry Glossy;M;https://thesportsedit.com/products/alo-yoga-sunny-strappy-bra-juneberry;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913570269;;Juneberry Glossy;L;https://thesportsedit.com/products/alo-yoga-sunny-strappy-bra-juneberry;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913566859;;Black/Buff;XS;https://thesportsedit.com/products/alo-yoga-illuminate-bra-black-buff;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913566866;;Black/Buff;S;https://thesportsedit.com/products/alo-yoga-illuminate-bra-black-buff;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913566873;;Black/Buff;M;https://thesportsedit.com/products/alo-yoga-illuminate-bra-black-buff;;;;;;;;;;;;;;;;;;;;;
Alo Yoga;884913566880;;Black/Buff;L;https://thesportsedit.com/products/alo-yoga-illuminate-bra-black-buff;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
